"","Species","Count","Location"
"1","Species A",14,"Location 3"
"2","Species A",3,"Location 1"
"3","Species B",84,"Location 2"
"4","Species B",37,"Location 1"
"5","Species B",93,"Location 2"
"6","Species B",47,"Location 1"
"7","Species C",33,"Location 3"
"8","Species C",18,"Location 3"
"9","Species B",35,"Location 1"
"10","Species B",38,"Location 3"
"11","Species A",14,"Location 2"
"12","Species A",28,"Location 3"
"13","Species A",48,"Location 2"
"14","Species B",32,"Location 2"
"15","Species A",11,"Location 3"
"16","Species A",4,"Location 1"
"17","Species A",35,"Location 1"
"18","Species A",69,"Location 2"
"19","Species C",41,"Location 3"
"20","Species A",67,"Location 3"
"21","Species C",40,"Location 3"
"22","Species B",16,"Location 2"
"23","Species A",40,"Location 1"
"24","Species B",76,"Location 1"
"25","Species A",69,"Location 2"
"26","Species C",10,"Location 1"
"27","Species A",41,"Location 1"
"28","Species B",95,"Location 3"
"29","Species A",28,"Location 2"
"30","Species B",42,"Location 2"
"31","Species B",77,"Location 2"
"32","Species C",42,"Location 1"
"33","Species A",29,"Location 3"
"34","Species B",29,"Location 3"
"35","Species A",21,"Location 3"
"36","Species A",67,"Location 2"
"37","Species C",57,"Location 3"
"38","Species A",8,"Location 1"
"39","Species A",93,"Location 3"
"40","Species B",87,"Location 1"
"41","Species B",89,"Location 1"
"42","Species A",58,"Location 1"
"43","Species C",8,"Location 3"
"44","Species A",3,"Location 2"
"45","Species B",94,"Location 3"
"46","Species B",24,"Location 3"
"47","Species A",64,"Location 1"
"48","Species B",30,"Location 2"
"49","Species C",27,"Location 1"
"50","Species A",37,"Location 2"
